Algorithm,Neighbourhood,Houses,Runtime,Worth,Worth + hillclimber,STDDEV,Iterations
Greedy,Wijk 1,20,91.69,15266130,15844020,0,1
Greedy,Wijk 1,40,324.89,22583280,22756920,0,1
Greedy,Wijk 1,60,730.03,28511850,28834380,0,1
Greedy,Wijk 2,20,95.19,15500460,16262490,0,1
Greedy,Wijk 2,40,350.11,23708400,23734050,0,1
Greedy,Wijk 2,60,589.79,29267940,29604930,0,1
Greedy,Wijk 3,20,84.44,16740360,16772280,0,1
Greedy,Wijk 3,40,291.35,24571470,25478670,0,1
Greedy,Wijk 3,60,651.9,30277050,30611430,0,1
Evolution,Wijk 1,20,602,17437440,17479050,0,1
Evolution,Wijk 1,40,1659,24919830,24969990,0,1
Evolution,Wijk 1,60,1433,29972610,30045000,0,1
Evolution,Wijk 2,20,516,16901770,16987500,0,1
Evolution,Wijk 2,40,1012,23523150,23691990,0,1
Evolution,Wijk 2,60,1578,29625240,29696490,0,1
Evolution,Wijk 3,20,377,18857430,18900180,0,1
Evolution,Wijk 3,40,2218,25193580,25319550,0,1
Evolution,Wijk 3,60,1786,31210680,31219230,0,1
Random,Wijk 1,20,0.005,9429776,-,502833,10000
Random,Wijk 1,40,0.013,16577917,-,347338,10000
Random,Wijk 1,60,0.038,23518451,-,257535,10000
Random,Wijk 2,20,0.004,9468910,-,490383,10000
Random,Wijk 2,40,0.014,16600212,-,356787,10000
Random,Wijk 2,60,0.041,23544534,-,262507,10000
Random,Wijk 3,20,0.004,9676334,-,546977,10000
Random,Wijk 3,40,0.018,16701538,-,372593,10000
Random,Wijk 3,60,0.031,23644480,-,279114,10000
Greedy-random,Wijk 1,20,5.714,14594233,-,707863,1000 (500)
Greedy-random,Wijk 1,40,13.401,21718452,-,419069,1000 (500)
Greedy-random,Wijk 1,60,18.411,27259689,-,539772,1000 (500)
Greedy-random,Wijk 2,20,5.944,14220601,-,491074,1000 (500)
Greedy-random,Wijk 2,40,13.297,21356819,-,519761,1000 (500)
Greedy-random,Wijk 2,60,17.847,27647111,-,542907,1000 (500)
Greedy-random,Wijk 3,20,4.615,16156598,-,1043674,1000 (500)
Greedy-random,Wijk 3,40,13.227,22463092,-,748520,1000 (500)
Greedy-random,Wijk 3,60,18.144,27849026,-,736004,1000 (500)